리뷰ID,상품명,옵션명,별점,작성일,리뷰내용
DEMO-0079,썸머 린넨 셔츠,화이트 / L,5,2026-03-18,색은 예쁜데 얇아서 밝은 색은 조심해야 할 것 같아요. 상세페이지를 꼭 보고 사세요.
DEMO-0143,세미오버핏 니트 가디건,오트밀 / M,5,2026-03-18,세미오버핏이라 여리여리하게 떨어져요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0141,세미오버핏 니트 가디건,그레이 / M,4,2026-03-18,셔츠 위에 걸치기 좋고 핏도 예뻐요. 다음에도 살 것 같아요.
DEMO-0243,루즈핏 후드 집업,크림 / M,5,2026-03-18,품이 넉넉해서 레이어드하기 편해요. 데일리로 입기 괜찮습니다.
DEMO-0317,경량 숏패딩,블랙 / M,4,2026-03-18,부해 보이지 않고 짧은 기장이 예뻐요. 배송은 빨랐어요.
DEMO-0219,하이웨스트 데님 팬츠,연청 / M,3,2026-03-17,사이즈표 보고 샀는데 생각보다 훨씬 타이트해요.
DEMO-0224,하이웨스트 데님 팬츠,연청 / M,4,2026-03-17,탄탄한 데님이라 신축성은 적은 편이에요. 다음에도 살 것 같아요.
DEMO-0221,하이웨스트 데님 팬츠,연청 / S,3,2026-03-17,신축성이 거의 없어서 사이즈 선택이 어렵습니다.
DEMO-0283,베이직 롱 원피스,블랙 / S,5,2026-03-17,라인이 깔끔하고 하나만 입어도 차려입은 느낌이에요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0272,베이직 롱 원피스,블랙 / M,5,2026-03-17,원단이 부드럽고 몸에 붙지 않아서 편해요. 데일리로 입기 괜찮습니다.
